start_node,end_node,np
100302,100392,2
100303,100317,1
100303,100317,2
100303,100380,0
100304,100305,0
100304,100315,0
100306,100317,0
100306,100319,0
100306,100392,0
100307,100308,0
100307,100319,0
100307,100381,0
100307,100392,0
100308,100328,0
100308,100330,0
100330,100365,1
100330,100365,2
100309,100313,0
100309,100316,0
100309,100325,0
100310,100313,0
100310,100320,0
100311,100199,0
100311,100315,0
100312,100316,0
100312,100317,0
100315,103104,0
100317,100320,1
100317,100320,2
100321,100322,0
100321,100323,1
100321,100323,2
100321,100326,0
100325,100327,0
100321,100328,0
100321,100329,0
100322,100329,0
100323,100324,1
100323,100324,2
100324,100326,0
100325,100365,0
100327,100330,0
100342,101732,0
100346,100081,0
100346,100302,1
100346,100302,2
100346,100384,0
100364,100321,0
100364,903148,0
100380,100365,3
100380,100365,4
100383,100384,1
100383,100385,2
100383,903145,0
100383,102153,0
100383,102709,0
100384,100385,0
100385,100380,0
100391,100080,1
100391,100080,2
102099,102802,0
102796,102802,0
102796,102801,0
103175,100175,2
100401,100403,0
100401,100464,0
100401,100483,0
100402,100403,0
100402,100465,0
100402,100466,0
100402,100483,0
100403,100468,0
100404,100403,0
100404,100497,1
100404,100498,2
100404,100436,0
100404,100437,4
100404,100452,0
100405,100407,0
100405,100497,1
100405,100498,2
100497,101419,1
100498,101429,2
100406,100426,0
100406,100440,1
100406,100440,2
100407,100408,0
100407,100468,0
100408,100469,0
101429,100415,0
101429,100471,2
101419,100471,1
101419,100472,0
100410,100441,0
100411,100447,2
100411,100469,0
100411,100471,0
100412,100480,0
100413,100422,0
100413,100425,1
100413,100425,2
100413,100433,3
100413,100433,4
100413,100476,1
100413,100476,2
100415,100414,0
100416,100414,0
100416,100462,0
100416,101462,0
100417,100053,0
101056,100053,0
100417,100442,1
100417,100442,2
100419,101462,0
100421,100432,0
100423,100481,0
100424,100518,0
100425,100433,1
100425,100433,2
100426,100524,1
100426,100524,2
100427,100428,1
100427,100428,2
100427,100440,0
100428,100426,0
100429,100248,0
100429,101402,2
100429,101403,3
101402,100428,2
101403,100428,3
100431,100421,0
100432,100413,0
100434,100428,0
100434,100435,0
100435,100426,0
100435,100451,0
100436,100438,0
100437,100443,0
100437,100453,0
100437,100479,1
100437,100479,2
100438,100401,0
100438,100464,1
100438,100464,2
100438,100483,0
100439,100437,1
100439,100437,2
100439,100475,0
100440,100426,0
100442,100415,0
100442,100448,0
100442,100455,1
100442,100455,2
100442,100458,0
100442,101455,0
100443,100438,0
100446,100254,0
100448,100467,0
100448,101448,0
100449,100265,0
100450,100451,0
100451,100487,0
100451,100489,0
100452,100483,0
100453,100483,0
100454,100235,0
100457,100426,0
100455,100460,1
100455,100470,2
100458,101458,0
100460,100461,0
100455,101455,1
100455,101455,2
100470,100461,0
100462,100458,0
100462,100467,0
100462,101462,0
100463,100414,1
100463,100414,2
100465,100483,0
100465,101465,0
100466,100403,0
100467,100484,0
100472,100075,0
100472,100447,0
100474,100414,0
100475,100455,2
100475,100455,1
100467,100476,1
100467,100476,2
100467,100476,3
100467,100476,4
100479,100477,0
100480,100414,0
100481,100418,0
100481,100422,0
100481,100414,2
100482,100415,1
100482,100481,0
100485,100484,0
100487,100486,0
100489,100490,0
100490,100450,0
100492,100493,0
100493,100449,0
100495,100449,0
100496,100495,0
100499,100010,0
100499,100255,0
100499,101429,4
101419,100409,1
101429,100409,2
100499,101419,3
100499,100475,1
100499,100475,2
100248,100501,0
100501,100502,1
100501,100502,2
100501,205815,0
100502,100511,0
100502,100503,0
100502,100505,0
100502,100530,0
100502,100523,1
100502,100543,2
100503,100504,0
100503,100542,0
100504,100511,0
100505,100506,0
100506,100507,0
100506,100540,0
100507,100508,0
100511,100602,0
100512,100518,1
100512,100518,2
100515,100508,1
100515,100508,2
100515,100533,0
100517,100428,2
100516,100428,1
100517,100512,2
100516,100512,1
100517,100530,2
100516,100530,1
100518,100488,0
100520,100420,0
100520,100430,0
100520,100521,0
100521,100534,0
100525,100555,0
100555,100553,0
100555,100554,0
100540,100553,0
100540,100554,0
100525,100561,1
100525,100561,2
100526,100406,0
100526,100440,0
100527,100249,0
100527,100270,0
100426,100459,0
100531,100532,1
100531,100535,2
100531,100533,1
100531,100533,2
100532,100647,1
100535,100647,2
100533,100534,0
100540,100541,1
100540,100541,2
100541,100544,0
100541,100545,0
100542,100544,0
100542,100545,0
100543,100550,0
100550,100427,0
100550,100551,1
100550,100551,2
100523,100562,0
100551,100552,1
100551,100552,2
100552,100561,1
100552,100561,2
100562,100427,0
100562,100563,1
100562,100563,2
100601,100429,0
100601,100640,1
100601,100640,2
100602,100603,0
100602,205526,0
100603,100612,0
100612,100613,0
100626,100632,0
100626,100644,0
100629,100627,0
100629,100634,1
100629,100634,2
100629,100639,2
100630,100640,0
100630,100652,0
100631,100651,0
100632,100640,0
100632,100655,0
100633,100640,0
100633,100656,0
100634,100638,0
100634,100651,0
100635,100640,0
100635,100647,0
100636,100637,0
100637,100651,0
100640,100631,1
100640,100631,2
100640,100634,0
100640,100645,0
100644,100629,1
100644,100629,2
100645,100647,0
100646,100636,0
100647,100646,0
100651,100638,0
100652,100659,0
100652,100660,0
100655,100650,0
100655,100653,0
100655,100654,0
100655,100659,0
100656,100657,0
100656,100658,0
100657,100639,0
100659,100660,0
100701,100711,0
100701,101138,0
100701,101106,0
100701,100718,0
100702,102702,4
100703,102702,3
100702,100751,0
100702,100703,0
100751,101169,0
100703,101169,0
100711,101146,0
100704,100713,0
100704,100720,0
100704,100758,0
100704,102712,0
100707,101117,0
100707,101179,0
100707,102707,0
100706,102706,0
100708,100704,0
100708,100709,1
100708,100709,2
100709,101191,0
100709,100710,0
100710,100720,0
100710,101184,0
100711,102702,0
100712,102712,0
100713,100714,0
100713,101115,0
100704,100714,0
100715,101170,0
100715,101169,0
100717,101170,0
100717,101169,0
100717,100719,0
100718,100706,0
100719,100722,0
100719,102729,0
100722,102729,0
100721,101170,0
100716,100721,0
100716,101169,0
100721,100722,0
101169,101171,0
100722,101171,0
101131,101169,1
101131,101169,2
101131,101169,3
101169,101172,0
101172,101173,0
100722,100778,0
101173,100778,0
101173,101177,0
101131,101174,0
100751,101131,0
100751,101176,1
100751,101176,2
100751,101174,0
101174,101175,0
101175,102175,0
101176,101177,0
101171,101175,0
101175,101177,0
100728,102728,0
100728,100779,0
100778,100779,0
100785,100778,0
100774,100779,0
100727,100741,0
100704,100712,0
100720,101163,0
100720,101165,0
100723,100755,0
100723,100757,1
100723,100757,2
100723,101170,1
100723,101170,2
100724,100748,0
100728,102787,0
100735,100739,0
100736,100779,0
100736,100739,0
100736,102787,0
100737,100746,0
100737,100738,0
100738,102763,0
100738,102767,0
100740,101193,0
100740,102107,1
100740,102107,2
102712,102714,0
102740,100743,0
102740,102743,0
100745,100742,0
100745,100759,0
100742,100724,0
100727,100724,0
100745,102148,0
100746,100767,0
100746,102743,0
102748,100748,0
100748,102752,0
100749,100746,0
100750,101119,0
100750,101100,0
100750,100751,1
100750,100751,2
100799,100791,4
102765,102740,0
102765,100752,0
102753,100753,0
100754,100749,0
100754,100746,0
100754,100747,0
100754,101190,0
100755,100735,0
100756,100758,0
100756,101155,0
100733,100755,0
100733,100759,0
100757,100759,1
100757,100759,2
100757,100759,3
100759,102148,0
100760,100759,2
100760,100759,1
100760,100759,3
100760,100763,0
100760,100781,0
100760,100796,0
100761,100739,0
100763,102740,3
100763,102740,2
100763,100776,0
100761,100764,0
100761,100767,0
100762,100764,0
100762,100767,0
100764,100783,0
100765,102765,0
100765,100741,0
100767,100769,0
100767,100768,0
100767,102767,0
100746,100768,0
100746,100769,0
100746,100738,0
100746,102767,0
100744,100741,0
100744,102740,0
100745,100741,0
100741,101190,0
100741,100726,0
100726,101190,0
100726,100725,0
100724,100725,0
100746,102753,0
100774,100786,0
100786,100787,0
102740,102753,0
100776,100746,1
100776,100746,2
100776,100777,1
100776,100777,2
100777,100781,0
100777,101190,1
100747,101190,0
100780,100764,0
100780,100783,0
100780,102780,0
100781,100741,2
100781,100741,1
100782,100783,2
100782,100783,1
100782,100783,5
100782,100790,0
100782,100799,0
100782,100796,0
100783,100787,0
100783,100788,0
100788,100791,0
100783,100789,0
100789,100791,0
100783,100784,0
100784,102784,0
100786,100736,0
100787,102787,0
100790,100799,0
100791,100771,0
100789,100770,0
100775,100784,0
100770,100775,0
100770,100773,0
100770,100772,0
100771,100773,0
100771,100772,0
100785,100786,0
100786,100783,0
100790,100792,1
100790,100792,2
100791,100792,0
100791,100793,0
100792,102182,0
100793,102796,1
100793,102796,2
100792,102792,0
100792,102794,0
100793,100794,0
100793,100795,0
100793,102793,0
100794,100795,0
100794,102120,0
100794,102124,0
100794,102794,1
100794,102794,3
100796,100786,5
100796,100786,6
100797,100798,0
100797,101138,0
100798,102798,0
100801,100806,0
100801,100823,0
100801,100824,0
100802,100808,0
100802,100816,0
100802,100854,0
100803,100807,0
100803,100891,0
100804,100843,0
100804,100861,0
100804,100862,0
100804,100868,1
100804,100868,2
100805,100806,0
100805,100890,0
100809,100808,0
100809,100811,0
100811,100810,0
100811,100813,0
100811,100818,0
100811,100840,0
100812,100811,0
100813,100812,0
100814,100813,0
100814,100815,0
100816,100815,0
100836,100818,0
100836,100850,0
100818,100810,0
100818,100838,0
100818,100839,0
100818,100840,2
100818,100840,1
100818,100850,0
100818,100852,0
100819,100820,0
100819,100852,0
100820,100853,0
100822,100844,0
100823,100822,0
100824,100844,0
100825,100845,2
100825,100845,1
100826,100803,0
100827,100802,0
100827,100831,0
100828,100825,0
100828,100838,0
100828,100850,0
100830,100831,1
100830,100831,2
100831,100841,0
100831,100842,1
100831,100842,2
100832,100842,0
100839,100237,0
100840,100817,0
100841,100840,0
100842,100811,2
100842,100811,1
100842,100846,0
100843,100845,0
100843,100846,0
100843,100868,0
100844,100821,0
100845,100860,0
100846,100828,0
100850,100852,0
100851,100859,0
100851,100869,0
100853,100854,0
100858,100861,0
100858,100863,0
100859,100869,0
100860,100861,0
100863,100856,0
100861,100856,0
100862,100863,2
100862,100863,1
100862,100868,1
100862,100868,2
100863,100866,0
100863,100867,0
100864,100863,0
100864,100875,0
100864,100878,0
100865,100866,0
100865,100867,0
100867,100869,0
100868,100869,2
100868,100869,1
100868,100871,0
100868,100872,0
100868,100893,0
100868,100894,0
100869,100878,0
100870,100865,0
100870,100868,0
100879,100869,0
100882,100830,0
100882,100896,6
100882,100895,5
100882,903577,0
100895,100868,5
100896,100868,6
251260,100655,0
205511,100501,0
205190,100897,0
101008,101056,0
101009,101046,0
101012,101057,0
101044,101056,0
101050,101066,0
101055,101056,1
101055,101056,2
101055,100429,0
101058,101046,1
101058,101046,2
101066,101064,1
101066,101067,0
101100,101131,3
101100,101131,2
101100,101131,1
101100,102150,0
101100,101140,0
101100,101142,0
101102,100033,0
101103,101192,0
101103,101195,0
101148,101143,0
101148,101184,0
101148,101191,0
101148,102188,0
101105,101122,0
101105,101168,0
101105,102752,0
101105,102798,0
101106,101105,0
101106,101109,0
101106,101110,0
101106,101145,0
101106,101159,0
101106,101167,0
101107,101126,0
101108,101113,0
101108,101117,1
101108,101117,2
101108,101118,0
101109,101116,0
101110,102109,0
101116,102109,0
101122,102122,0
102109,102122,1
102109,102122,2
101104,100019,0
101111,101112,0
101111,101188,0
101113,102107,0
101114,101163,0
101115,101163,0
101116,101147,0
101117,102107,0
101118,101193,0
101118,102707,0
101119,101117,2
101119,101117,1
101119,102119,0
101120,101165,0
101120,101166,0
101121,101114,0
101121,101129,0
101121,101161,0
101122,102752,0
101124,101129,0
101124,101130,0
101125,101126,0
101125,101161,0
101127,101187,0
101127,102107,0
101128,101152,0
101128,101153,0
101128,101181,1
101128,101181,2
101128,102119,0
101129,101161,0
101130,101134,0
101131,101147,0
101132,100018,0
101132,101188,0
101133,101137,0
101123,101141,0
101123,101134,0
101134,101156,0
101135,101141,0
101135,102184,1
101135,102184,2
101136,101137,0
101137,101101,0
101137,102706,0
101138,101139,0
101138,101145,0
101138,102138,1
101138,102138,2
101167,102138,0
100797,102138,0
101159,102138,0
101139,101101,0
100798,101168,0
101140,100760,0
101140,100782,0
101140,101154,0
101141,101102,0
101141,101104,0
101141,101156,0
101141,102141,1
101141,102141,2
101141,102141,3
101141,102141,4
101142,101138,2
101142,101138,1
101142,101149,0
101143,101112,0
101143,101144,0
101143,101157,0
101186,101188,0
101143,101158,0
101144,101186,0
102141,102144,0
101145,101146,0
101147,101122,0
102748,100759,0
102748,100741,0
101149,101152,0
101149,101154,0
102150,100750,0
101150,100760,0
102150,100781,0
102150,100796,0
101150,101154,0
101151,101155,0
101151,101162,0
101151,101164,0
101151,101166,0
101152,101154,0
101152,101178,1
101152,101178,2
101153,101135,2
101153,101135,1
101154,101106,1
101154,101106,2
101154,101106,3
101155,101157,0
101156,101158,0
101157,101158,0
101157,101162,0
101158,101162,0
101160,101161,4
101164,101165,0
101167,101168,0
101170,100774,0
101170,100785,0
101178,101133,0
101177,102176,0
101177,102177,0
101178,101136,0
101178,101182,0
101179,101127,0
101179,101194,0
101179,101196,0
101179,101181,0
101182,101180,0
101184,101186,0
101184,101191,0
101184,102188,0
101185,101187,0
101183,101185,0
101186,102144,0
101187,101193,0
101187,101196,0
101188,101104,0
101188,102141,1
101188,102141,2
101189,101161,1
101189,101161,2
101189,102153,0
101191,101151,0
101181,101197,0
101181,101194,0
101193,102193,0
101195,101196,0
101196,102707,0
101197,101180,0
101197,101192,0
101197,101198,0
101198,101199,0
101199,101178,0
102141,102145,0
102175,102176,0
102177,102728,0
102188,101188,0
103137,100135,1
103151,100202,0
101448,101458,0
101455,100415,0
101455,101462,0
903595,100154,0
901764,100862,0
901777,100804,0
901766,100862,0
901778,100817,0
901779,100865,0
101775,100814,0
100155,903590,0
100218,100220,2
100222,100223,0
100267,100268,0
100244,100844,0
100249,100254,0
100446,100449,0
100456,100426,0
100518,100524,1
100518,100524,2
100526,100563,1
100526,100563,2
100776,100746,3
100802,100807,0
100851,100150,2
100851,100150,1
101140,102106,6
102105,101170,5
101153,102153,0
100078,101074,0
100074,101074,0
