number,name
102784,Ноябр ПГЭ
102787,Когалым
102792,Тарко-Сале
102793,Надым
102794,Уренгойская ГРЭС
102795,Мангазея
102796,Салехард
102797,Мангазея
102798,Угутский ПП
101074,ПП Сосьва
100528,Камбарка-2
100529,Камбарка-1
100628,Суна
100643,ОУХО
100829,Росташинская-1
100849,Росташинская-2
102799,Новоуренгойская
101010,Академическая ТЭ
100837,Юго-Восточная
101453,КамаКалий
100293,Гвардейская
100836,Ростоши
101471,ПермГРЭС БЛ-1
101472,ПермГРЭС БЛ-2
101473,ПермГРЭС БЛ-3
101474,ПермГРЭС БЛ-4
100833,Изобильная
102161,ПП Тобол РУ-1
102162,ПП Тобол РУ-2
102191,ЗапСиб1
102192,ЗапСиб2
100331,Рябково
100366,Заозерная
100367,КСМ
100368,КЗКТ ГПП-2
101006,Свердловская
101007,Таватуй
101014,Дачная
101016,Весна
101018,Искра
101017,Глубокая
101019,Академическая
101020,Чкаловская
101021,Н.Исетская
101022,отп. Североураль
101027,Таволги
101048,Чупино
101052,Фарфоровая
101053,Измоденово
101054,Кортогуз
101060,Школьная
101063,Смолино
101068,Первомайская 110
101069,Песчаная 110
101082,Ферросплав
101084,Кадниковская
101085,Блочная
101086,Гагарский
101087,отп. Спортивная
101088,Новокольцовская
101089,отп. Загородная
100332,Роза-Т
100333,Керамзит-Т
100334,Марково-Т
100335,Дубрава-Т
100336,Введенское-Т
100337,Зырянка-Т
100338,Малиновка-Т
100339,Просвет-Т
102788,Лимбя-Яха
102790,Исконная
102791,Исконная
102789,Ермак
100847,Преображенская
102197,МДФ
102801,ТЭС Салехард
102802,ГТЭС Обдорск
102099,СТ_НЕБ.Салехард
102178,Пихтовая
102180,Юровская
100342,Горбуново
100848,Преображенская
101426,ВотГЭС_потребите
101730,Литейная
100024,Оус
103127,Медная
100617,Бытприбор
100618,Сельмаш
100619,Урванцево
103165,Обогатительная
100279,КармГРЭС_потреби
100274,УфТЭЦ-2_потребит
100523,Позимь 1С 220
101033,Травянская 2СШ 2
102159,Тобольская ТЭЦ (
102160,Тобольская ТЭЦ (
100875,ГПП-4 Гая
100876,ЦРЛ-1
100877,ЦРЛ-2
102230,Стерлибашево
